Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, DischargeAmps, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
18.2,   5,   4097,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11378,   1144,   6,   210,   2
18.3,   6,   4087,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11367,   1144,   6,   210,   2
18.4,   7,   4077,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11397,   1144,   6,   212,   2
18.5,   7,   4077,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11368,   1144,   6,   213,   2
18.6,   8,   4079,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11377,   1144,   6,   214,   2
18.7,   9,   4084,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11382,   1144,   6,   215,   2
18.8,   10,   4080,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11364,   1144,   6,   216,   2
18.9,   11,   4085,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11715,   1144,   6,   217,   2
19,   12,   4114,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11677,   1144,   6,   219,   2
19.1,   12,   4114,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11692,   1144,   7,   220,   2
19.2,   13,   4106,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11657,   1144,   7,   221,   2
19.3,   14,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -12,   11681,   1144,   7,   222,   2
19.4,   15,   4097,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11693,   1144,   7,   224,   2
19.5,   16,   4107,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11694,   1144,   7,   224,   2
19.6,   17,   4100,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11662,   1144,   7,   226,   2
19.7,   17,   4100,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11686,   1144,   7,   227,   2
19.8,   18,   4089,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11793,   1144,   7,   228,   2
19.9,   19,   4087,   4200,   4157,   4118,   3205,   38,   39,   26,  -12,   11969,   1144,   7,   229,   2
20,   20,   4082,   4200,   4157,   4118,   3205,   38,   39,   26,  -12,   11995,   1144,   7,   231,   2
20.1,   21,   4086,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   12011,   1144,   7,   231,   2
20.2,   22,   4088,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11999,   1144,   7,   233,   2
20.3,   22,   4088,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   12002,   1144,   7,   234,   2
20.4,   23,   4082,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11993,   1144,   7,   235,   2
20.5,   24,   4078,   4200,   4157,   4118,   3205,   38,   39,   26,  -12,   12000,   1144,   7,   236,   2
20.6,   25,   4081,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   12026,   1144,   7,   238,   2
20.7,   26,   4086,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   12001,   1144,   7,   239,   2
20.8,   27,   4076,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   12442,   1144,   7,   240,   2
